hours_studied,sleep_hours,attendance_pct,prev_score,exam_score
7.65,5.35,58.3,85.0,100.0
6.35,6.71,65.7,51.8,84.5
5.54,6.68,76.7,72.0,89.7
5.59,7.28,78.1,68.8,89.2
3.04,6.33,64.7,54.6,68.6
0.31,7.57,64.5,67.1,60.2
4.37,8.22,53.1,79.6,74.0
2.15,7.19,75.3,61.1,70.8
4.09,7.42,59.0,44.7,66.1
8.53,7.06,42.2,64.8,89.2
2.34,7.0,65.1,54.2,64.3
0.58,6.13,68.4,60.9,57.3
2.81,7.38,53.5,64.0,65.2
2.94,6.88,74.3,44.5,69.9
6.62,9.51,73.9,45.6,84.3
5.57,8.89,82.1,70.8,91.1
7.84,7.46,78.9,58.7,95.8
6.64,6.08,79.1,34.2,82.6
4.06,5.67,59.0,74.4,77.5
8.14,8.43,87.2,68.3,100.0
1.67,7.32,72.9,56.4,66.8
0.23,7.58,65.9,49.2,53.3
0.9,4.91,77.6,75.0,55.6
7.22,8.11,61.6,69.2,87.4
4.62,7.55,70.8,93.6,90.2
1.61,5.67,84.2,70.0,67.0
5.01,6.43,93.2,69.7,88.0
1.52,7.32,95.3,63.0,69.9
6.96,7.06,70.2,74.8,96.9
4.46,6.65,71.2,72.5,85.7
3.81,6.88,88.0,80.0,80.4
3.02,6.7,58.9,58.7,62.9
6.3,7.18,90.2,59.8,88.2
3.62,8.77,69.6,59.3,77.3
0.88,3.92,47.0,74.5,59.7
1.18,6.72,44.3,83.0,60.5
9.62,7.21,90.5,59.5,99.9
9.09,7.36,43.3,59.9,90.2
7.0,6.55,56.8,68.8,87.4
2.66,4.89,60.0,62.1,62.3
9.69,7.39,50.4,76.4,100.0
7.79,9.07,58.8,38.0,89.7
7.17,5.16,84.6,55.1,90.4
4.49,8.04,40.9,55.6,76.5
2.72,6.61,89.6,37.2,63.6
0.96,6.93,91.4,53.4,59.4
9.03,5.74,62.3,54.0,98.8
4.56,6.6,49.2,62.6,68.4
2.02,8.56,76.1,78.4,76.3
3.06,7.7,47.2,62.1,68.1
5.79,9.08,61.9,52.6,83.6
1.77,8.41,97.5,64.3,80.1
8.57,7.53,99.7,77.6,100.0
7.59,9.09,86.3,53.3,100.0
7.19,7.53,58.7,54.1,88.2
4.32,7.99,81.3,71.7,79.9
6.27,6.64,82.3,62.3,91.0
5.84,7.08,63.3,72.8,83.7
6.5,6.16,78.5,64.8,88.1
0.84,8.19,40.6,73.4,60.4
4.16,5.59,52.5,52.6,71.0
0.42,7.94,71.5,64.9,58.0
4.94,6.77,49.8,62.5,80.8
3.3,8.41,50.0,50.4,71.7
1.45,7.9,90.2,46.2,70.0
1.03,9.18,99.3,73.2,76.2
5.88,7.88,73.4,60.8,93.4
1.71,5.11,90.3,52.7,56.2
9.25,6.92,99.4,63.8,100.0
5.81,5.59,48.5,78.5,80.8
3.47,6.38,66.9,37.6,65.4
5.91,8.81,63.6,47.0,80.9
0.23,7.77,44.8,53.9,49.4
9.59,6.16,85.3,82.5,100.0
4.82,5.78,66.0,68.4,79.5
7.83,7.04,68.2,74.2,100.0
0.83,5.54,49.0,51.3,49.3
4.87,6.19,50.9,51.6,72.9
4.91,7.37,94.4,70.4,89.8
9.38,8.39,42.7,65.7,100.0
5.72,7.73,54.0,71.6,90.6
4.73,4.25,57.5,62.7,80.6
2.67,7.37,69.4,68.3,73.2
3.32,7.09,75.2,66.9,78.1
5.21,7.5,69.6,74.3,82.6
4.39,8.94,45.0,74.7,79.3
0.22,4.52,54.6,45.6,48.9
8.26,6.29,90.6,38.0,98.6
8.96,7.71,78.3,77.0,100.0
1.4,5.1,78.9,79.3,71.1
5.54,8.77,80.2,52.8,88.5
1.09,7.44,85.8,42.7,64.5
6.72,8.02,43.5,66.2,88.8
2.81,6.31,62.0,76.2,70.5
6.59,7.98,72.4,86.6,100.0
7.27,8.28,60.3,71.2,84.3
7.69,7.28,90.7,60.5,100.0
1.08,7.28,69.0,54.3,44.7
9.16,7.32,86.1,65.1,100.0
2.3,5.96,91.1,61.4,72.6
0.37,6.82,70.3,52.8,56.7
5.55,6.82,94.6,89.6,93.4
3.71,7.46,75.2,86.4,81.4
8.3,8.2,91.0,78.6,100.0
8.08,5.73,60.4,53.9,89.6
3.17,6.85,69.9,75.3,85.0
9.53,8.78,71.9,72.7,100.0
2.91,6.11,46.3,70.3,68.6
5.15,6.01,63.9,80.0,91.7
2.56,7.24,95.0,72.6,78.7
9.36,8.01,77.8,73.9,100.0
1.65,7.01,50.7,72.6,62.9
0.45,8.59,60.3,69.1,60.2
4.35,8.03,51.5,43.6,64.8
9.92,8.01,41.5,66.0,100.0
8.92,7.66,95.6,58.3,100.0
7.49,9.79,66.9,49.6,97.9
8.91,6.75,58.5,85.2,100.0
8.93,4.6,75.9,85.7,100.0
5.19,8.93,40.4,81.3,84.3
3.16,6.45,56.7,68.1,71.2
7.72,7.13,82.2,81.2,100.0
6.62,8.57,78.0,65.1,91.1
3.74,5.08,98.9,67.4,76.4
0.94,5.5,77.2,51.9,61.6
7.47,5.08,68.7,69.8,92.3
2.62,6.05,85.7,65.7,67.0
9.37,7.53,94.2,49.4,100.0
2.41,7.63,83.2,64.4,74.7
1.23,7.33,97.8,64.0,63.3
8.31,5.3,86.9,86.6,100.0
1.53,4.23,92.0,75.7,71.8
1.79,7.07,46.8,65.1,62.6
5.99,6.43,83.9,68.0,93.6
8.75,7.55,66.4,65.5,96.7
1.96,7.84,73.2,62.6,69.4
3.1,7.17,79.2,52.0,70.0
