area_m2,rooms,floor,district,year_built,price_k
53.5,2,5,center,1992,8688.0
45.7,2,11,south,1988,4358.0
65.8,3,6,center,2019,12083.0
62.3,3,14,south,2015,7601.0
56.9,3,7,south,2023,7048.0
84.6,4,14,north,2003,8850.0
37.8,2,12,south,1982,3589.0
39.1,2,13,north,1967,4230.0
39.5,2,15,industrial,1968,3941.0
54.1,2,13,industrial,2020,5243.0
35.0,2,6,north,1983,4464.0
60.9,3,9,south,1967,5889.0
58.4,3,8,south,1974,6011.0
44.7,2,2,industrial,1961,3695.0
81.2,4,10,north,1993,8916.0
60.7,3,7,south,1997,6512.0
85.4,4,7,industrial,1984,7306.0
57.7,3,2,center,2007,9988.0
61.5,3,9,south,1990,7112.0
49.6,2,10,center,2021,8927.0
61.8,3,2,south,2008,7634.0
77.7,4,11,north,1964,8083.0
53.0,2,3,industrial,1977,4399.0
73.4,3,3,north,2008,8608.0
44.1,2,7,center,1994,7448.0
78.7,4,7,industrial,2008,6891.0
49.2,2,15,industrial,1981,4045.0
80.7,4,2,south,1962,8109.0
63.3,3,6,south,2010,7262.0
95.5,4,12,north,2010,10348.0
36.6,2,4,south,2000,3888.0
29.5,1,16,center,1985,4649.0
48.4,2,12,center,1960,7742.0
31.5,1,16,industrial,2006,3152.0
31.6,1,16,south,2002,4356.0
75.7,3,2,north,2002,8674.0
61.9,3,8,center,1970,9731.0
51.4,2,12,industrial,2006,5126.0
53.5,2,1,center,2006,9352.0
48.9,2,8,north,2014,5290.0
98.3,4,12,center,1996,15864.0
45.8,2,13,center,2006,8432.0
32.9,1,7,north,1985,4615.0
79.5,4,14,industrial,2004,7574.0
57.3,3,11,north,2004,6425.0
106.9,5,1,south,2009,11255.0
50.4,2,5,south,2014,5605.0
80.6,4,16,south,1960,8428.0
85.8,4,1,south,2009,9774.0
50.5,2,2,south,2010,6208.0
45.7,2,6,south,1994,5322.0
78.3,4,16,south,1993,8981.0
74.6,3,12,south,2006,8846.0
31.0,1,3,south,1989,4143.0
37.2,2,7,south,1986,4439.0
20.0,1,16,center,2011,4374.0
75.1,3,4,south,2010,8724.0
56.2,3,10,south,1973,6098.0
58.4,3,8,north,2013,7177.0
24.8,1,13,industrial,1980,2289.0
37.8,2,13,north,1968,4561.0
51.5,2,14,north,2016,7336.0
47.2,2,2,industrial,1975,3478.0
64.6,3,8,north,1972,6739.0
74.8,3,12,north,1977,8167.0
111.9,5,7,north,1991,12209.0
61.6,3,11,industrial,1970,4570.0
86.5,4,11,north,1970,9730.0
43.7,2,6,south,1985,5013.0
25.2,1,2,south,1973,2940.0
54.2,2,16,south,1972,6314.0
26.9,1,14,industrial,2018,3360.0
62.3,3,15,industrial,1998,5537.0
44.8,2,5,north,1960,4056.0
20.0,1,6,industrial,1966,1582.0
100.2,5,6,south,2012,10325.0
50.2,2,1,center,1977,8348.0
26.0,1,3,north,1969,3011.0
81.8,4,5,south,2002,8772.0
46.0,2,16,center,2013,8466.0
86.0,4,4,south,1985,9131.0
45.9,2,9,north,2007,5426.0
50.1,2,9,south,1986,5595.0
69.6,3,6,center,1966,11065.0
75.1,3,15,industrial,2011,6125.0
78.9,4,2,north,2018,9605.0
60.0,3,14,center,2023,10231.0
73.6,3,12,north,1966,7594.0
78.4,4,5,north,1996,8339.0
66.4,3,13,south,1999,7984.0
58.9,3,7,south,1965,5361.0
30.2,1,16,center,2020,5656.0
75.2,3,1,industrial,1966,5569.0
62.9,3,1,north,1977,6557.0
52.9,2,9,center,2021,9102.0
90.1,4,15,south,1995,9815.0
30.6,1,2,south,2003,3248.0
98.2,4,13,south,1991,9863.0
61.5,3,16,north,2008,7309.0
69.0,3,8,north,1965,7407.0
53.3,2,14,south,2003,6800.0
25.3,1,13,center,1964,4524.0
58.9,3,4,north,1971,6143.0
69.4,3,14,industrial,1992,4988.0
76.9,3,12,south,1988,8296.0
57.6,3,1,north,1969,6546.0
20.0,1,10,north,2011,3859.0
28.1,1,11,south,1979,3451.0
107.1,5,13,north,2015,11767.0
38.0,2,13,center,1960,5727.0
93.4,4,8,center,1975,15402.0
41.5,2,5,south,1978,3909.0
58.0,3,4,south,1998,6070.0
75.8,3,2,center,1985,12522.0
44.0,2,11,center,1970,6899.0
97.0,4,16,south,1996,9861.0
63.7,3,2,south,2021,8178.0
72.1,3,12,south,1968,7372.0
56.1,3,10,center,1976,8904.0
76.5,3,3,south,1990,7617.0
96.7,4,4,industrial,2006,8868.0
59.1,3,5,south,1968,5866.0
100.1,5,11,center,1974,16221.0
48.5,2,5,south,1975,5386.0
78.8,4,14,north,1999,8806.0
72.8,3,6,center,1965,11062.0
38.5,2,2,north,2002,5463.0
66.7,3,2,industrial,1987,6007.0
62.2,3,7,north,1981,6096.0
43.2,2,7,industrial,2015,4748.0
69.9,3,12,south,2012,8036.0
65.2,3,8,south,2011,7174.0
60.4,3,3,center,2016,10717.0
60.5,3,4,south,1974,5632.0
60.0,3,10,center,2014,10416.0
53.9,2,6,north,1971,5421.0
65.1,3,11,north,1981,6958.0
47.8,2,15,north,1995,5799.0
120.4,5,6,south,2007,12304.0
31.0,1,9,center,1996,6317.0
49.1,2,14,north,1995,6132.0
50.9,2,4,industrial,1984,4955.0
106.9,5,9,center,1997,17220.0
33.0,1,5,north,1990,3889.0
71.4,3,11,north,1990,8669.0
67.5,3,12,north,1997,7579.0
69.3,3,3,south,1998,7505.0
89.2,4,3,north,1981,9732.0
88.7,4,1,north,1968,8594.0
