sex,pclass,age,fare,siblings,survived
female,2,33.0,30.63,1,0
male,3,17.0,7.34,1,0
male,1,42.0,89.5,1,1
female,3,14.0,10.42,1,1
female,3,26.0,4.0,3,1
male,2,22.0,28.98,1,1
male,2,32.0,16.44,2,0
male,3,22.0,15.28,0,0
male,2,26.0,17.73,0,0
male,2,27.0,29.11,1,1
male,2,20.0,17.66,1,0
female,2,36.0,16.45,0,1
female,3,33.0,6.74,0,0
male,3,29.0,8.28,0,1
male,2,24.0,28.61,1,0
male,3,40.0,4.87,0,0
male,1,27.0,51.98,1,1
male,1,26.0,77.85,1,1
male,3,31.0,17.86,0,0
female,3,52.0,12.24,0,0
male,1,13.0,74.36,0,0
male,1,40.0,11.82,0,0
male,3,5.0,17.18,1,0
female,3,33.0,13.06,0,0
female,1,50.0,86.28,0,1
male,2,36.0,13.91,0,0
female,3,32.0,6.08,1,0
male,2,23.0,16.71,1,0
male,1,30.0,39.01,0,0
female,1,27.0,69.49,0,1
male,2,20.0,25.08,0,1
male,3,26.0,4.0,1,0
male,3,33.0,6.11,0,0
male,3,20.0,7.66,1,0
female,3,20.0,9.86,3,1
male,3,12.0,4.0,1,0
male,2,35.0,33.84,1,0
male,2,37.0,21.13,2,1
male,3,33.0,12.52,2,1
male,2,43.0,17.87,0,0
male,3,31.0,11.31,2,0
female,3,35.0,18.35,0,1
male,1,34.0,71.74,1,0
male,3,29.0,10.76,0,0
male,1,23.0,65.67,0,1
male,1,59.0,102.66,0,0
male,3,24.0,8.56,0,0
male,2,21.0,29.76,1,0
male,3,36.0,10.16,1,0
female,3,33.0,18.63,0,0
female,3,12.0,14.57,0,0
male,2,45.0,22.87,0,0
male,2,29.0,35.81,0,0
male,2,16.0,6.68,0,0
male,1,45.0,13.83,0,0
male,3,38.0,8.71,0,0
female,2,14.0,16.93,1,1
female,2,53.0,19.08,2,1
female,3,39.0,16.22,0,1
male,2,30.0,17.73,0,0
female,1,51.0,118.3,0,1
male,1,32.0,125.7,0,0
male,3,30.0,4.1,0,1
male,3,21.0,19.25,0,0
female,1,38.0,103.49,0,1
male,3,36.0,18.01,1,0
female,3,30.0,20.56,1,0
male,3,20.0,12.51,0,0
female,2,32.0,27.41,0,0
male,1,29.0,71.93,1,1
male,3,13.0,13.53,0,0
female,2,11.0,21.07,0,1
male,3,37.0,6.51,1,0
male,3,1.0,11.62,0,1
male,1,33.0,84.49,1,1
male,3,24.0,4.0,0,0
male,3,47.0,9.31,0,0
male,3,24.0,21.06,0,0
male,2,39.0,29.76,1,0
female,3,25.0,17.22,1,0
male,3,31.0,9.09,1,0
male,3,40.0,15.27,1,0
male,3,24.0,18.58,1,0
male,3,43.0,16.45,1,0
female,2,17.0,31.57,0,0
female,1,34.0,81.11,0,1
female,2,42.0,20.66,0,1
male,3,39.0,6.88,0,0
male,3,55.0,13.56,0,0
male,3,20.0,13.55,0,0
male,2,12.0,16.68,0,0
male,3,17.0,14.02,0,0
female,3,39.0,6.94,1,0
male,2,36.0,17.03,1,0
male,3,31.0,17.23,0,0
male,3,15.0,13.12,0,0
male,3,40.0,18.9,1,1
male,1,14.0,72.91,1,0
male,3,45.0,4.0,0,0
female,3,67.0,17.8,0,0
male,3,35.0,9.78,1,0
male,3,38.0,14.05,0,0
male,3,24.0,8.12,0,0
female,2,6.0,23.01,0,1
male,3,22.0,6.74,0,0
female,3,16.0,9.98,1,1
female,3,11.0,12.64,0,1
male,1,52.0,45.6,1,0
female,2,34.0,15.73,0,1
male,3,35.0,21.67,2,0
female,2,26.0,13.31,0,0
male,3,28.0,14.37,1,0
female,2,43.0,26.08,3,1
male,3,30.0,11.77,0,0
male,3,37.0,10.12,1,1
male,2,27.0,26.58,0,0
female,3,26.0,18.49,1,0
male,2,12.0,16.58,0,1
male,3,4.0,10.94,0,1
female,3,27.0,9.74,0,1
female,3,31.0,4.0,0,1
male,1,13.0,86.09,0,0
male,2,30.0,11.42,1,1
male,3,31.0,4.0,0,0
female,3,2.0,7.4,0,1
male,3,18.0,9.6,1,0
female,1,35.0,139.5,1,1
male,2,35.0,29.15,1,0
male,3,15.0,8.66,0,0
male,1,32.0,83.93,1,0
male,2,43.0,21.98,0,0
female,3,40.0,18.05,0,0
male,1,29.0,88.21,0,1
male,3,24.0,18.44,0,1
female,2,22.0,18.82,1,1
female,3,36.0,5.83,0,1
female,3,33.0,10.7,1,0
male,3,38.0,13.66,1,0
male,1,32.0,107.98,0,0
female,3,41.0,15.32,0,1
male,3,31.0,8.5,1,0
male,2,40.0,12.32,1,0
female,2,41.0,29.83,0,1
male,1,20.0,19.22,0,0
male,3,6.0,9.35,0,0
female,3,50.0,12.91,0,0
male,3,33.0,15.3,0,0
male,3,8.0,24.37,0,1
male,3,21.0,17.64,1,0
male,3,40.0,17.86,0,0
male,2,26.0,18.73,0,1
female,3,23.0,15.1,0,1
female,1,48.0,130.65,0,1
male,3,16.0,16.22,1,0
male,3,20.0,5.95,1,0
female,2,33.0,26.35,0,1
male,3,35.0,8.96,1,0
male,1,36.0,136.2,0,1
male,3,42.0,10.95,3,0
female,3,33.0,12.83,0,1
male,3,36.0,18.52,2,0
female,2,27.0,37.56,0,1
male,1,31.0,85.33,0,0
male,1,31.0,128.08,0,1
male,1,33.0,101.66,1,1
male,1,40.0,33.66,0,0
male,1,37.0,78.54,0,0
male,3,31.0,10.12,0,0
male,1,19.0,78.59,0,1
male,1,31.0,30.99,0,1
male,3,30.0,17.46,0,0
male,3,33.0,13.7,1,0
female,3,59.0,15.51,0,1
male,3,23.0,12.38,0,0
female,3,35.0,7.96,0,0
female,3,44.0,10.43,0,0
male,3,31.0,12.11,0,0
female,3,60.0,11.79,0,0
female,2,25.0,31.43,0,1
female,2,34.0,30.45,1,0
male,3,20.0,12.34,0,0
male,1,25.0,116.37,0,0
male,3,33.0,10.52,0,0
male,2,41.0,33.37,0,0
female,1,34.0,103.43,0,1
female,2,46.0,15.99,0,1
male,3,29.0,9.91,0,0
female,2,26.0,32.12,3,1
male,3,65.0,22.13,0,0
female,3,35.0,16.69,0,1
male,1,21.0,83.63,0,0
female,3,21.0,10.61,0,1
female,2,18.0,34.8,0,1
male,1,42.0,145.62,0,1
male,3,25.0,15.24,0,0
female,3,32.0,6.5,0,1
male,2,29.0,12.64,1,0
male,3,40.0,14.52,1,0
female,2,19.0,19.64,0,1
male,3,16.0,7.17,0,1
male,3,33.0,9.93,0,1
male,3,38.0,4.0,0,0
male,3,34.0,8.27,0,0
female,1,19.0,110.19,1,1
male,3,39.0,5.88,0,0
male,3,20.0,12.99,1,0
male,3,23.0,11.66,0,0
female,1,18.0,86.38,0,1
male,2,47.0,24.44,0,0
female,2,38.0,16.11,0,1
female,1,38.0,119.01,0,1
female,2,46.0,9.2,1,1
female,2,67.0,33.28,0,1
female,3,8.0,10.3,0,0
female,2,20.0,38.25,3,0
male,3,22.0,12.75,1,0
female,3,19.0,10.47,1,1
male,3,16.0,4.0,0,0
male,3,26.0,4.0,1,0
female,3,14.0,8.5,0,1
female,3,34.0,11.95,0,1
female,3,31.0,8.35,0,1
male,3,36.0,15.75,1,1
male,3,37.0,10.32,1,0
male,3,38.0,6.21,1,0
