Unnamed: 0,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
46,2015-02-08,1.06,2734006.98,732854.05,1222159.62,159491.59,619501.72,543231.71,75649.4,620.61,conventional,2015,Midsouth
47,2015-02-01,0.99,3668037.65,888523.17,1798504.77,388259.15,592750.56,464442.27,125798.21,2510.08,conventional,2015,Midsouth
50,2015-01-11,1.17,2335986.11,560119.16,1032606.49,191515.19,551745.27,465764.93,85966.27,14.07,conventional,2015,Midsouth
3,2015-12-06,1.0,130989.23,88033.66,9655.78,5447.67,27852.12,22956.94,4797.18,98.0,conventional,2015,Nashville
44,2015-02-22,1.05,148164.2,101095.06,10053.42,13693.83,23321.89,20671.7,2645.2,4.99,conventional,2015,Nashville
45,2015-02-15,1.03,153852.03,109047.7,9817.42,11085.73,23901.18,21186.15,2715.03,0.0,conventional,2015,Nashville
46,2015-02-08,0.94,171749.31,125785.83,8119.73,9717.73,28126.02,25896.73,2229.29,0.0,conventional,2015,Nashville
15,2015-09-13,1.02,219776.27,140509.91,18106.55,1713.51,59446.3,54335.47,5110.83,0.0,conventional,2015,NewOrleansMobile
23,2015-07-19,0.98,258559.32,167068.14,8930.71,11720.44,70840.03,62702.44,8131.55,6.04,conventional,2015,NewOrleansMobile
40,2015-03-22,0.9,282494.07,196325.14,8985.9,179.21,77003.82,68626.59,8377.23,0.0,conventional,2015,NewOrleansMobile
46,2015-02-08,0.93,242065.29,169656.18,8648.32,202.67,63558.12,61345.53,2212.59,0.0,conventional,2015,NewOrleansMobile
49,2015-01-18,1.03,267666.12,179991.12,23263.42,213.64,64197.94,61302.5,2895.44,0.0,conventional,2015,NewOrleansMobile
0,2015-12-27,1.17,1129876.05,13711.19,872603.6,894.58,242666.68,208470.99,34191.25,4.44,conventional,2015,NewYork
37,2015-04-12,1.43,1084407.8,18928.26,764676.24,1846.37,298956.93,239070.0,59886.93,0.0,conventional,2015,NewYork
19,2015-08-16,1.17,4221435.38,97139.95,3382543.31,8138.99,733613.13,677997.05,55602.12,13.96,conventional,2015,Northeast
46,2015-02-08,1.09,4457049.41,128978.49,3354876.63,7219.81,965974.48,869917.39,96055.45,1.64,conventional,2015,Northeast
10,2015-10-18,1.0,402466.4,3274.11,361448.46,192.81,37551.02,36297.69,1253.33,0.0,conventional,2015,NorthernNewEngland
12,2015-10-04,1.12,298222.53,3978.7,253346.07,248.25,40649.51,40431.73,217.78,0.0,conventional,2015,NorthernNewEngland
16,2015-09-06,1.01,508207.79,2506.81,456884.53,377.7,48438.75,48349.86,88.89,0.0,conventional,2015,NorthernNewEngland
20,2015-08-09,1.03,579226.47,2513.38,523492.97,815.98,52404.14,52400.81,3.33,0.0,conventional,2015,NorthernNewEngland
39,2015-03-29,1.07,412639.2,2452.76,372165.06,57.27,37964.11,37036.33,927.78,0.0,conventional,2015,NorthernNewEngland
51,2015-01-04,1.05,321823.77,4966.76,264351.96,14.68,52490.37,52490.37,0.0,0.0,conventional,2015,NorthernNewEngland
12,2015-10-04,1.0,332997.12,224769.27,34085.54,60.86,74081.45,37192.16,36886.48,2.81,conventional,2015,Orlando
20,2015-08-09,0.99,388550.28,249265.95,57952.32,99.51,81232.5,47242.5,33990.0,0.0,conventional,2015,Orlando
33,2015-05-10,1.32,535922.59,18571.03,381134.53,2051.34,134165.69,118815.58,15350.11,0.0,conventional,2015,Philadelphia
40,2015-03-22,1.18,449261.63,27380.04,322071.0,1104.04,98706.55,85471.81,13234.74,0.0,conventional,2015,Philadelphia
41,2015-03-15,1.44,331456.96,15055.12,199103.98,1077.74,116220.12,102101.2,14118.92,0.0,conventional,2015,Philadelphia
46,2015-02-08,1.09,477875.71,26219.21,336509.39,1353.94,113793.17,100107.79,13683.87,1.51,conventional,2015,Philadelphia
48,2015-01-25,1.36,355645.73,16112.5,211453.65,1409.19,126670.39,110991.22,15679.17,0.0,conventional,2015,Philadelphia
14,2015-09-20,0.71,892151.19,410147.31,403760.93,6031.4,72211.55,64530.22,7681.33,0.0,conventional,2015,PhoenixTucson
31,2015-05-24,0.58,1261540.03,968755.93,180676.87,6013.78,106093.45,84441.02,21652.43,0.0,conventional,2015,PhoenixTucson
0,2015-12-27,1.25,73109.9,1241.48,45856.11,951.32,25060.99,17512.17,7392.15,156.67,conventional,2015,Pittsburgh
16,2015-09-06,1.12,1714650.22,857114.48,547236.44,15397.86,294901.44,276258.81,17590.29,1052.34,conventional,2015,Plains
18,2015-08-23,1.06,1731574.98,930286.05,498120.52,16041.72,287126.69,275002.9,10772.67,1351.12,conventional,2015,Plains
42,2015-03-08,1.11,1531085.64,838161.13,412581.04,9283.84,271059.63,269498.52,734.29,826.82,conventional,2015,Plains
50,2015-01-11,1.09,1402841.83,737363.86,448207.79,10009.45,207260.73,205299.64,954.59,1006.5,conventional,2015,Plains
29,2015-06-07,1.16,543944.19,194122.57,239758.46,19235.07,90828.09,90346.52,473.22,8.35,conventional,2015,Portland
39,2015-03-29,1.2,401824.91,162580.71,163122.62,18487.16,57634.42,57229.61,402.85,1.96,conventional,2015,Portland
28,2015-06-14,1.11,286814.82,60157.22,95409.49,41274.25,89973.86,89685.43,288.43,0.0,conventional,2015,RaleighGreensboro
7,2015-11-08,0.95,202831.97,83635.77,76222.46,12315.03,30658.71,29783.15,875.56,0.0,conventional,2015,RichmondNorfolk
13,2015-09-27,0.97,203675.17,61853.71,101484.98,16430.71,23905.77,23139.55,766.22,0.0,conventional,2015,RichmondNorfolk
26,2015-06-28,1.0,236210.73,78419.44,90965.34,11394.34,55431.61,55427.17,4.44,0.0,conventional,2015,RichmondNorfolk
32,2015-05-17,1.04,262509.58,91276.43,103883.14,11273.72,56076.29,52612.5,3458.56,5.23,conventional,2015,RichmondNorfolk
33,2015-05-10,1.06,263027.68,72224.74,115679.54,11036.66,64086.74,57579.67,6507.07,0.0,conventional,2015,RichmondNorfolk
44,2015-02-22,1.1,225830.42,75550.59,89874.92,17018.36,43386.55,43046.27,340.28,0.0,conventional,2015,RichmondNorfolk
45,2015-02-15,1.13,207249.74,70877.95,77855.03,10942.01,47574.75,41738.23,5836.52,0.0,conventional,2015,RichmondNorfolk
50,2015-01-11,1.15,194460.59,71743.11,66849.97,10952.11,44915.4,36160.54,8754.86,0.0,conventional,2015,RichmondNorfolk
11,2015-10-11,1.01,118009.81,53713.89,37828.75,151.21,26315.96,26312.88,3.08,0.0,conventional,2015,Roanoke
15,2015-09-13,0.99,147617.68,69411.99,49831.29,180.33,28194.07,28181.85,12.22,0.0,conventional,2015,Roanoke
23,2015-07-19,1.04,124246.77,48761.54,41554.57,110.24,33820.42,33820.42,0.0,0.0,conventional,2015,Roanoke
5,2015-11-22,1.06,354986.48,83984.24,218912.41,12684.6,39405.23,39405.23,0.0,0.0,conventional,2015,Sacramento
6,2015-11-15,0.94,414161.47,100343.08,262929.38,11181.91,39707.1,39707.1,0.0,0.0,conventional,2015,Sacramento
32,2015-05-17,1.18,397215.12,141111.13,200745.02,12034.36,43324.61,43324.61,0.0,0.0,conventional,2015,Sacramento
39,2015-03-29,1.2,391178.81,110809.75,203705.17,13740.39,62923.5,62884.77,38.73,0.0,conventional,2015,Sacramento
47,2015-02-01,1.04,771974.9,287292.15,429601.75,15342.47,39738.53,39738.53,0.0,0.0,conventional,2015,Sacramento
49,2015-01-18,1.22,367047.36,83097.77,238956.51,5672.46,39320.62,39320.62,0.0,0.0,conventional,2015,Sacramento
8,2015-11-01,1.01,468472.81,211287.89,179995.77,17716.68,59472.47,53567.27,5897.02,8.18,conventional,2015,SanDiego
9,2015-10-25,1.08,408336.19,172518.85,165522.86,18702.56,51591.92,48469.97,3117.85,4.1,conventional,2015,SanDiego
13,2015-09-27,0.93,491990.83,194526.22,245815.73,14807.56,36841.32,34448.65,2392.67,0.0,conventional,2015,SanDiego
14,2015-09-20,1.07,448488.04,204096.06,173105.77,28629.58,42656.63,39560.7,3095.93,0.0,conventional,2015,SanDiego
20,2015-08-09,1.03,630941.71,285569.68,288086.68,14248.31,43037.04,41132.08,1904.96,0.0,conventional,2015,SanDiego
25,2015-07-05,1.05,587740.55,328818.07,187820.87,18794.71,52306.9,46816.59,5490.31,0.0,conventional,2015,SanDiego
35,2015-04-26,1.11,435990.48,235664.26,141949.05,14634.32,43742.85,37689.45,6053.4,0.0,conventional,2015,SanDiego
42,2015-03-08,0.95,504284.16,314550.25,127157.9,14754.16,47821.85,42719.72,5102.13,0.0,conventional,2015,SanDiego
45,2015-02-15,0.94,486113.55,303637.72,127874.99,15333.5,39267.34,33642.66,5425.61,199.07,conventional,2015,SanDiego
0,2015-12-27,1.05,692206.4,181704.67,422617.8,28184.73,59699.2,59094.49,582.9,21.81,conventional,2015,SanFrancisco
5,2015-11-22,1.04,709444.22,121232.94,502068.19,29410.26,56732.83,55908.92,773.33,50.58,conventional,2015,SanFrancisco
18,2015-08-23,1.59,610212.92,129106.61,380934.57,27089.79,73081.95,72131.45,950.5,0.0,conventional,2015,SanFrancisco
48,2015-01-25,1.21,713523.24,127276.45,481792.41,21293.67,83160.71,82293.47,796.67,70.57,conventional,2015,SanFrancisco
2,2015-12-13,1.05,454428.03,114813.13,156347.74,9650.5,173616.66,173537.66,35.61,43.39,conventional,2015,Seattle
11,2015-10-11,0.9,640331.58,87081.69,301656.56,15431.19,236162.14,234219.02,0.0,1943.12,conventional,2015,Seattle
14,2015-09-20,1.02,590721.74,158198.44,242849.81,11283.42,178390.07,178374.58,8.85,6.64,conventional,2015,Seattle
16,2015-09-06,1.17,459793.66,167782.09,155468.95,12346.64,124195.98,124129.03,61.97,4.98,conventional,2015,Seattle
31,2015-05-24,1.14,577946.53,213212.05,240665.64,14400.18,109668.66,109172.41,459.78,36.47,conventional,2015,Seattle
34,2015-05-03,1.02,687972.03,226074.37,355250.18,11154.42,95493.06,94995.86,477.54,19.66,conventional,2015,Seattle
45,2015-02-15,1.33,352335.1,114014.9,171966.91,8106.15,58247.14,57771.22,431.17,44.75,conventional,2015,Seattle
10,2015-10-18,1.12,226246.39,105221.4,55038.8,16616.9,49369.29,40996.42,8372.87,0.0,conventional,2015,SouthCarolina
12,2015-10-04,1.04,267919.95,123692.52,70671.2,14906.36,58649.87,38750.39,19899.48,0.0,conventional,2015,SouthCarolina
24,2015-07-12,1.14,320934.33,143217.29,81353.84,17190.82,79172.38,73161.82,5916.12,94.44,conventional,2015,SouthCarolina
31,2015-05-24,1.05,407499.97,247039.02,58352.93,20373.51,81734.51,69674.41,12060.1,0.0,conventional,2015,SouthCarolina
35,2015-04-26,1.1,319659.25,191953.94,43170.27,16204.46,68330.58,63208.06,5122.52,0.0,conventional,2015,SouthCarolina
37,2015-04-12,1.05,356627.38,220208.81,49060.02,16838.53,70520.02,57990.96,12529.06,0.0,conventional,2015,SouthCarolina
46,2015-02-08,1.06,282822.72,169169.05,41468.74,12641.17,59543.76,44770.78,14772.98,0.0,conventional,2015,SouthCarolina
20,2015-08-09,0.89,5353393.56,3096265.87,1600371.62,40173.44,616582.63,529408.18,87160.21,14.24,conventional,2015,SouthCentral
48,2015-01-25,0.81,5142259.93,3205533.39,1298842.9,68870.69,569012.95,476249.64,92763.31,0.0,conventional,2015,SouthCentral
16,2015-09-06,0.97,3750714.49,2175323.4,650270.11,43507.27,881613.71,472040.07,409430.79,142.85,conventional,2015,Southeast
28,2015-06-14,1.15,3021825.81,1910736.86,315079.1,46585.63,749424.22,611440.68,137878.92,104.62,conventional,2015,Southeast
33,2015-05-10,1.17,2963777.8,2167781.63,212422.04,24440.63,559133.5,437055.69,122077.81,0.0,conventional,2015,Southeast
43,2015-03-01,1.01,3633174.13,2682065.6,281502.89,19429.67,650175.97,396512.64,253660.35,2.98,conventional,2015,Southeast
47,2015-02-01,0.93,4924049.79,3656338.95,451194.73,40258.76,776257.35,359145.48,417111.87,0.0,conventional,2015,Southeast
0,2015-12-27,1.05,67099.38,20577.16,21592.44,2889.97,22039.81,21900.09,0.0,139.72,conventional,2015,Spokane
4,2015-11-29,1.17,51432.09,16876.93,16826.84,2523.85,15204.47,15204.47,0.0,0.0,conventional,2015,Spokane
6,2015-11-15,1.0,84398.93,17121.98,38867.94,2013.77,26395.24,26395.24,0.0,0.0,conventional,2015,Spokane
14,2015-09-20,1.05,79503.08,20718.72,42342.6,4327.13,12114.63,12114.63,0.0,0.0,conventional,2015,Spokane
39,2015-03-29,1.12,74999.31,36451.47,26800.47,2051.36,9696.01,9376.01,320.0,0.0,conventional,2015,Spokane
51,2015-01-04,1.0,84612.39,26607.29,44341.92,3660.64,10002.54,9556.06,446.48,0.0,conventional,2015,Spokane
2,2015-12-13,0.99,166083.52,64673.08,24481.09,71.71,76857.64,55878.32,20979.32,0.0,conventional,2015,StLouis
5,2015-11-22,1.15,134989.16,40115.68,27003.98,23.45,67846.05,60331.15,7514.9,0.0,conventional,2015,StLouis
20,2015-08-09,1.15,200794.99,92511.57,47874.46,230.92,60178.04,60173.56,0.0,4.48,conventional,2015,StLouis
23,2015-07-19,1.2,204464.92,99044.52,41712.52,56.2,63651.68,63651.68,0.0,0.0,conventional,2015,StLouis
26,2015-06-28,1.17,217234.17,107631.08,40137.34,54.82,69410.93,69371.63,39.3,0.0,conventional,2015,StLouis
38,2015-04-05,1.36,159461.64,77970.98,34544.71,67.97,46877.98,46762.42,115.56,0.0,conventional,2015,StLouis
47,2015-02-01,1.1,308371.9,209893.28,48651.4,59.1,49768.12,49768.12,0.0,0.0,conventional,2015,StLouis
30,2015-05-31,1.36,64839.58,744.02,34985.62,44.53,29065.41,29065.41,0.0,0.0,conventional,2015,Syracuse
31,2015-05-24,1.35,61584.26,559.81,34572.48,36.29,26415.68,26415.68,0.0,0.0,conventional,2015,Syracuse
35,2015-04-26,1.4,48811.05,768.09,23424.19,19.39,24599.38,24363.82,235.56,0.0,conventional,2015,Syracuse
5,2015-11-22,0.97,311784.91,194667.16,39338.15,57.68,77721.92,46934.42,30787.5,0.0,conventional,2015,Tampa
8,2015-11-01,0.97,391514.43,228324.13,72749.38,100.62,90340.3,44449.47,45890.83,0.0,conventional,2015,Tampa
22,2015-07-26,1.16,265367.52,133615.12,48153.33,115.96,83483.11,67480.1,16003.01,0.0,conventional,2015,Tampa
29,2015-06-07,0.97,433152.31,295793.0,35164.49,467.96,101726.86,65864.81,35862.05,0.0,conventional,2015,Tampa
41,2015-03-15,1.25,257172.84,173099.66,19983.36,62.96,64026.86,46495.52,17531.34,0.0,conventional,2015,Tampa
47,2015-02-01,0.92,562242.53,392037.18,53180.28,79.96,116945.11,50530.52,66414.59,0.0,conventional,2015,Tampa
24,2015-07-12,1.07,31660031.68,12384449.4,12403360.2,980361.75,5891860.33,5067198.34,796786.14,27875.85,conventional,2015,TotalUS
28,2015-06-14,0.98,37026085.75,16383685.07,12821015.03,1085081.61,6736304.04,5893641.72,822399.78,20262.54,conventional,2015,TotalUS
32,2015-05-17,1.06,32027686.15,14615941.59,11003341.22,963549.53,5444853.81,4747544.74,660983.55,36325.52,conventional,2015,TotalUS
47,2015-02-01,0.89,44655461.51,18933038.04,18956479.74,1381516.11,5384427.62,4216452.03,1121076.47,46899.12,conventional,2015,TotalUS
49,2015-01-18,1.03,29043458.85,11858139.34,11701947.8,831301.9,4652069.81,3873041.26,771093.2,7935.35,conventional,2015,TotalUS
8,2015-11-01,0.9,5024858.14,1815066.15,1937479.91,132883.59,1139428.49,717110.41,421675.08,643.0,conventional,2015,West
47,2015-02-01,0.84,8362504.08,3531350.44,3872672.0,80893.53,877588.11,705333.64,172154.91,99.56,conventional,2015,West
25,2015-07-05,0.78,913360.72,606650.91,123465.83,18233.51,165010.47,146199.35,18811.12,0.0,conventional,2015,WestTexNewMexico
51,2015-01-04,0.75,758118.95,426878.87,147958.43,15267.89,168013.76,165202.22,2811.54,0.0,conventional,2015,WestTexNewMexico
