tenure_months,monthly_fee,support_tickets,contract_type,is_churn
70,90.56,3,yearly,1
62,27.53,0,yearly,0
17,61.89,1,two_year,0
40,37.09,0,yearly,0
59,71.35,3,monthly,0
21,60.37,1,two_year,0
48,61.83,0,monthly,0
2,37.99,1,yearly,0
63,41.22,2,monthly,0
44,71.69,0,monthly,0
53,86.87,0,monthly,0
59,63.65,0,monthly,0
16,38.85,3,two_year,0
32,61.1,1,monthly,1
61,98.69,1,yearly,0
12,56.84,2,monthly,0
59,81.31,0,two_year,0
21,41.67,0,monthly,0
41,54.24,1,monthly,0
37,66.15,0,monthly,0
49,62.15,0,yearly,1
60,41.21,2,two_year,0
25,40.43,1,two_year,0
13,72.79,1,monthly,1
31,76.45,0,monthly,1
44,82.22,1,monthly,1
54,87.47,0,monthly,0
54,57.42,2,yearly,0
25,49.4,1,monthly,0
67,79.32,0,yearly,0
6,67.84,0,two_year,1
9,37.32,3,monthly,1
2,36.39,0,monthly,1
66,63.85,2,monthly,0
13,51.81,1,monthly,1
43,54.52,3,monthly,1
58,74.31,1,yearly,0
55,68.66,1,monthly,0
68,78.94,0,yearly,0
4,20.23,1,two_year,1
29,59.56,2,two_year,0
36,67.5,1,yearly,0
50,27.52,1,monthly,0
45,43.21,0,monthly,0
40,39.87,1,monthly,0
22,55.39,1,two_year,0
8,84.3,1,two_year,1
31,91.41,0,monthly,0
19,40.34,1,monthly,1
40,64.48,0,monthly,1
57,65.06,2,monthly,1
40,61.98,1,two_year,0
42,62.18,1,monthly,0
3,60.47,0,monthly,1
46,85.38,1,monthly,1
32,74.84,0,monthly,0
9,35.92,0,monthly,0
16,69.32,2,two_year,0
56,71.06,1,monthly,0
66,60.67,4,yearly,0
37,75.37,0,monthly,0
70,58.39,1,monthly,0
13,58.61,1,monthly,1
22,57.18,0,monthly,1
67,18.67,3,monthly,0
13,53.55,3,monthly,1
47,42.97,1,yearly,0
16,33.64,2,yearly,1
24,80.81,1,two_year,0
34,64.08,2,monthly,0
26,54.46,1,yearly,0
63,44.83,1,yearly,0
70,60.33,2,monthly,0
36,72.85,0,monthly,1
38,40.11,2,monthly,0
4,54.91,3,yearly,1
17,70.63,0,monthly,0
3,20.15,1,monthly,0
61,53.96,2,two_year,1
17,47.27,2,monthly,1
25,52.59,1,two_year,0
60,45.97,0,yearly,0
51,57.48,0,yearly,0
45,89.63,1,yearly,0
3,49.17,0,monthly,0
40,60.25,0,yearly,0
40,90.91,1,yearly,0
23,45.1,1,yearly,0
53,87.66,1,monthly,0
66,55.1,0,monthly,0
19,87.07,2,monthly,1
24,68.5,1,monthly,1
23,60.53,0,yearly,0
60,53.82,1,yearly,0
6,43.77,1,yearly,0
64,56.36,1,yearly,0
56,71.15,1,monthly,0
35,54.76,3,monthly,1
42,49.3,1,monthly,0
64,50.49,1,monthly,0
55,72.86,3,monthly,0
20,77.05,0,monthly,0
4,42.99,1,monthly,0
47,42.97,0,yearly,0
11,61.83,3,monthly,1
7,82.5,1,monthly,0
70,75.63,1,monthly,0
34,32.47,3,yearly,0
47,50.25,1,yearly,0
16,38.25,1,monthly,1
8,50.18,0,monthly,0
5,83.88,2,two_year,0
26,29.39,0,yearly,0
1,25.86,1,yearly,0
30,40.09,0,monthly,0
24,60.17,1,yearly,0
38,66.17,1,two_year,0
42,62.87,0,monthly,0
22,76.16,1,yearly,0
33,23.26,2,monthly,0
6,76.39,1,yearly,0
22,49.38,1,monthly,1
70,68.17,2,monthly,0
71,31.18,2,two_year,0
35,55.09,4,two_year,1
67,59.25,3,monthly,0
36,75.8,1,two_year,1
9,26.47,1,monthly,0
62,55.55,0,monthly,0
30,35.47,1,two_year,1
44,64.1,2,monthly,0
47,68.99,1,monthly,0
22,78.17,2,yearly,0
53,45.37,2,monthly,0
36,71.69,2,monthly,0
27,79.5,0,monthly,1
22,25.42,2,yearly,1
53,66.02,1,monthly,0
18,72.25,2,monthly,0
9,50.34,0,yearly,0
63,33.21,2,monthly,0
24,71.97,2,monthly,1
46,33.41,1,yearly,0
51,51.79,0,yearly,0
60,54.28,4,monthly,0
45,67.88,0,two_year,0
51,43.72,3,yearly,0
60,42.68,4,monthly,1
67,56.78,0,yearly,0
4,73.12,1,yearly,0
53,96.17,2,yearly,0
13,27.87,1,yearly,0
64,60.68,1,yearly,0
4,35.44,2,two_year,0
18,73.34,0,yearly,1
14,38.11,3,yearly,1
43,42.86,2,yearly,0
1,44.39,0,two_year,0
2,53.63,0,two_year,0
36,60.82,1,monthly,1
69,63.71,2,monthly,0
38,54.9,2,yearly,0
32,31.06,1,monthly,0
47,68.1,0,yearly,0
40,54.05,1,yearly,0
28,75.91,0,two_year,0
42,42.26,1,monthly,0
1,26.16,0,yearly,0
18,54.39,3,monthly,1
48,78.33,2,monthly,0
25,57.9,0,monthly,0
4,51.41,0,monthly,0
9,39.33,1,monthly,1
62,86.64,2,yearly,0
24,36.47,1,yearly,0
2,41.94,0,monthly,0
52,65.26,3,monthly,0
38,21.59,0,monthly,0
33,77.94,1,two_year,0
64,66.24,2,two_year,0
23,71.19,2,monthly,0
41,65.05,0,monthly,0
53,52.1,0,monthly,0
44,35.86,0,yearly,0
15,52.48,1,monthly,0
49,37.45,0,monthly,1
53,63.75,1,monthly,0
9,69.52,0,monthly,0
12,81.58,2,monthly,1
48,61.69,1,monthly,0
9,71.64,2,yearly,0
63,49.65,3,monthly,1
8,46.39,0,monthly,0
70,63.53,2,yearly,0
48,48.04,1,monthly,0
32,59.85,0,yearly,0
20,35.9,1,two_year,0
25,39.13,2,monthly,1
54,66.44,2,two_year,0
54,70.96,0,yearly,0
15,37.26,2,yearly,0
39,67.07,2,monthly,1
71,45.41,3,monthly,0
19,55.3,3,monthly,1
50,80.5,0,two_year,0
13,69.53,2,yearly,0
60,69.33,1,monthly,0
13,89.36,2,monthly,1
22,42.33,2,monthly,1
33,37.25,1,monthly,0
27,42.0,1,yearly,0
13,50.42,2,monthly,1
46,15.0,1,yearly,0
2,51.27,1,yearly,0
70,45.2,1,yearly,0
4,69.11,1,yearly,1
24,61.34,3,monthly,1
67,44.19,1,yearly,0
12,65.62,2,yearly,0
6,68.02,0,monthly,0
53,41.17,0,monthly,0
6,46.13,1,monthly,1
64,15.0,2,monthly,0
33,35.37,0,monthly,1
62,41.64,1,monthly,0
18,56.33,1,yearly,0
11,37.98,0,monthly,0
69,45.76,2,monthly,1
55,32.94,0,monthly,0
65,58.08,1,monthly,0
23,62.66,0,two_year,0
29,62.24,2,monthly,0
41,55.22,1,monthly,0
32,27.26,0,monthly,0
18,43.84,1,monthly,1
27,47.67,2,yearly,0
44,47.74,2,yearly,0
3,56.35,1,monthly,0
24,80.66,2,yearly,0
21,69.62,1,monthly,1
5,37.22,1,yearly,0
9,67.21,0,yearly,0
36,66.53,2,monthly,1
8,40.49,1,yearly,0
25,70.28,1,yearly,0
40,52.11,0,monthly,0
63,29.62,2,two_year,0
8,63.19,1,two_year,0
31,58.91,3,monthly,0
8,50.9,2,yearly,0
31,54.33,1,yearly,0
35,42.06,5,monthly,0
57,65.98,0,monthly,0
32,54.22,1,two_year,0
67,58.0,0,yearly,0
10,61.43,3,monthly,1
4,34.22,2,monthly,0
1,38.9,2,monthly,1
26,15.22,0,two_year,1
14,65.17,0,yearly,0
7,33.18,1,monthly,0
17,57.39,0,two_year,0
70,61.68,0,yearly,0
57,65.84,0,monthly,0
2,33.33,1,monthly,1
65,53.83,1,yearly,0
15,85.07,0,monthly,1
29,85.86,0,monthly,0
24,72.77,1,yearly,0
29,61.07,1,two_year,0
55,36.91,1,monthly,0
51,67.94,2,two_year,1
43,52.16,0,two_year,0
45,65.09,1,monthly,1
52,43.61,0,monthly,0
14,51.89,1,yearly,0
29,57.95,3,yearly,0
8,59.43,2,monthly,1
50,63.89,3,yearly,0
32,44.57,0,yearly,0
46,30.82,2,yearly,0
41,84.25,0,yearly,0
20,99.81,1,monthly,1
10,63.05,1,monthly,1
70,31.17,0,monthly,0
21,41.08,0,two_year,0
8,64.16,0,two_year,0
22,79.14,1,yearly,0
65,33.17,3,monthly,0
19,52.76,1,yearly,0
71,58.53,3,monthly,1
33,70.56,1,monthly,0
62,48.82,0,monthly,0
47,26.85,1,yearly,0
4,66.18,2,monthly,1
37,75.25,0,yearly,0
30,53.51,2,two_year,0
15,62.29,1,yearly,0
40,46.46,1,monthly,0
8,39.78,2,two_year,0
50,73.48,2,yearly,0
59,61.97,2,monthly,1
7,63.83,2,yearly,0
35,82.04,1,two_year,0
47,36.01,1,monthly,0
5,45.06,3,monthly,1
28,57.84,1,monthly,0
19,44.84,2,monthly,0
3,69.1,2,yearly,1
58,51.63,1,monthly,0
32,37.13,0,monthly,1
54,56.18,2,monthly,1
42,58.07,0,monthly,0
63,71.82,1,monthly,0
71,62.08,3,yearly,0
43,63.3,2,monthly,0
26,60.77,1,monthly,1
31,51.61,1,two_year,0
59,42.11,1,two_year,0
31,60.2,0,monthly,0
37,49.0,0,monthly,0
14,85.42,3,monthly,1
71,79.16,2,monthly,0
47,66.39,1,monthly,0
24,61.81,2,two_year,0
42,53.42,1,yearly,0
29,32.3,0,monthly,0
11,51.11,0,two_year,0
63,56.83,0,monthly,0
63,59.13,0,monthly,0
60,63.45,2,monthly,1
27,71.58,1,monthly,0
19,42.54,0,two_year,0
4,42.7,3,monthly,1
52,81.12,2,yearly,0
24,68.88,0,monthly,0
64,47.97,0,two_year,0
62,53.07,3,yearly,0
10,53.15,2,monthly,0
66,55.57,2,monthly,0
10,63.51,1,two_year,0
35,100.63,2,monthly,0
34,58.42,1,monthly,1
68,66.93,1,two_year,0
47,24.64,1,monthly,0
63,46.27,1,monthly,1
43,77.12,2,monthly,1
59,62.24,3,monthly,0
61,15.0,1,monthly,0
62,67.13,2,monthly,1
30,89.53,1,monthly,0
28,19.07,1,monthly,0
70,82.35,1,monthly,0
54,15.0,1,two_year,0
66,71.88,4,yearly,0
41,54.84,1,monthly,1
66,15.0,0,monthly,0
52,63.03,1,yearly,0
53,75.72,1,monthly,1
13,61.55,1,monthly,0
41,65.53,0,yearly,0
52,47.59,3,monthly,0
55,21.49,0,yearly,0
68,67.45,2,two_year,0
24,86.5,3,yearly,0
22,75.33,1,monthly,0
69,19.22,2,monthly,0
71,27.73,0,monthly,1
13,39.77,5,yearly,1
27,26.33,1,two_year,0
68,55.8,0,two_year,0
15,62.08,0,monthly,1
56,29.26,1,yearly,0
8,68.99,3,monthly,1
13,65.82,1,yearly,1
56,45.13,1,monthly,0
44,51.89,1,monthly,1
40,19.9,0,monthly,0
61,49.02,0,two_year,0
22,55.13,1,monthly,0
36,58.04,1,monthly,0
44,61.82,1,monthly,1
53,59.4,0,monthly,1
24,50.24,2,two_year,0
45,60.15,1,monthly,0
32,73.04,1,monthly,1
39,53.28,1,yearly,0
62,60.72,1,monthly,0
28,51.65,0,monthly,1
48,43.36,0,monthly,0
67,64.41,1,monthly,0
55,45.01,4,monthly,0
71,61.95,2,monthly,0
42,55.51,1,monthly,1
