units_sold,price_per_unit,discount_pct,manager,total_with_vat,revenue
2,397.33,5,sidorova,905.9,754.92
18,248.09,10,ivanov,4822.81,4019.01
17,323.97,15,petrov,5617.7,4681.42
25,305.27,5,petrov,8700.2,7250.17
4,330.7,10,petrov,1428.61,1190.51
24,249.16,0,ivanov,7175.94,5979.95
16,173.33,10,petrov,2995.06,2495.88
29,386.87,0,ivanov,13462.97,11219.14
39,426.77,0,ivanov,19972.92,16644.1
9,178.7,10,ivanov,1737.0,1447.5
30,373.2,0,sidorova,13435.32,11196.1
5,437.49,0,sidorova,2624.92,2187.43
39,393.63,0,sidorova,18421.98,15351.65
19,302.5,15,petrov,5862.44,4885.37
30,255.09,10,petrov,8264.76,6887.3
31,347.29,5,petrov,12273.16,10227.63
24,362.3,15,ivanov,8869.12,7390.93
15,348.62,5,sidorova,5961.44,4967.87
30,323.79,15,sidorova,9907.91,8256.59
19,242.56,5,ivanov,5253.88,4378.23
26,378.04,0,ivanov,11794.91,9829.09
24,382.38,0,ivanov,11012.46,9177.05
19,358.07,5,petrov,7755.89,6463.24
5,349.99,0,ivanov,2099.94,1749.95
12,491.13,0,ivanov,7072.31,5893.59
37,283.81,5,petrov,11970.94,9975.78
21,455.33,15,ivanov,9753.16,8127.63
25,273.94,0,ivanov,8218.13,6848.44
11,439.81,0,ivanov,5805.43,4837.86
